"Country","League","Season","Date","Time","","Home","Away","HG","AG","Res","PH","PD","PA"
"Argentina","Liga Profesional","2023","3/11/2023","22:15","","Defensa y Justicia","Talleres Cordoba","1","1","0","3.22","3.29","2.39"
"Argentina","Liga Profesional","2023","3/12/2023","0:30","","Belgrano","Lanus","0","0","0","3.11","2.96","2.67"
"Argentina","Liga Profesional","2023","3/12/2023","0:30","","Central Cordoba","Tigre","2","0","1","3.91","3.43","2.05"
"Argentina","Liga Profesional","2023","3/12/2023","20:00","","Racing Club","Sarmiento Junin","1","0","1","1.68","3.9","5.34"
"Argentina","Liga Profesional","2023","3/12/2023","22:15","","Estudiantes L.P.","Huracan","2","1","1","2.1","3.12","4.22"
"Argentina","Liga Profesional","2023","3/12/2023","22:15","","River Plate","Godoy Cruz","3","0","1","1.49","4.37","7.21"
"Argentina","Liga Profesional","2023","3/13/2023","0:30","","Banfield","Boca Juniors","1","0","1","3.3","2.99","2.53"
"Argentina","Liga Profesional","2023","3/13/2023","0:30","","Rosario Central","Union de Santa Fe","1","1","0","2.84","3.07","2.81"
"Argentina","Liga Profesional","2023","3/14/2023","0:00","","Colon Santa Fe","Newells Old Boys","1","1","0","3.05","3.09","2.62"
"Argentina","Liga Profesional","2023","3/14/2023","0:00","","Velez Sarsfield","Platense","1","1","0","1.65","3.62","6.56"
"Argentina","Liga Profesional","2023","3/18/2023","0:00","","Union de Santa Fe","Racing Club","1","3","-1","2.76","3.31","2.71"
"Argentina","Liga Profesional","2023","3/18/2023","19:30","","Arsenal Sarandi","Tigre","2","0","1","4.5","3.46","1.91"
"Argentina","Liga Profesional","2023","3/18/2023","22:00","","Independiente","Colon Santa Fe","2","2","0","2.2","3.14","3.82"
"Argentina","Liga Profesional","2023","3/18/2023","22:00","","Platense","Defensa y Justicia","1","0","1","3.14","3.21","2.48"
"Argentina","Liga Profesional","2023","3/19/2023","0:30","","Atl. Tucuman","Barracas Central","1","1","0","1.7","3.81","5.34"
"Argentina","Liga Profesional","2023","3/19/2023","0:30","","Godoy Cruz","Belgrano","3","1","1","2.16","3","4.22"
"Argentina","Liga Profesional","2023","3/19/2023","19:35","","Gimnasia L.P.","Estudiantes L.P.","2","1","1","3.46","3.18","2.33"
"Argentina","Liga Profesional","2023","3/19/2023","22:00","","Boca Juniors","Instituto","2","3","-1","1.84","3.37","5.11"
"Argentina","Liga Profesional","2023","3/20/2023","0:30","","Sarmiento Junin","River Plate","0","2","-1","6.13","3.91","1.62"
"Argentina","Liga Profesional","2023","3/20/2023","0:30","","Talleres Cordoba","Banfield","0","1","-1","1.7","3.48","6.15"
"Argentina","Liga Profesional","2023","3/20/2023","21:30","","Newells Old Boys","San Lorenzo","1","0","1","2.67","2.81","3.3"
"Argentina","Liga Profesional","2023","3/21/2023","0:00","","Huracan","Rosario Central","0","2","-1","1.75","3.34","6.05"
"Argentina","Liga Profesional","2023","3/21/2023","0:00","","Lanus","Argentinos Jrs","0","0","0","3.17","2.91","2.67"
"Argentina","Liga Profesional","2023","3/22/2023","0:00","","Velez Sarsfield","Central Cordoba","4","0","1","1.83","3.27","5.59"
"Argentina","Liga Profesional","2023","3/31/2023","0:00","","Defensa y Justicia","Velez Sarsfield","0","0","0","2.7","2.99","3.04"
"Argentina","Liga Profesional","2023","3/31/2023","1:30","","Argentinos Jrs","Godoy Cruz","3","0","1","1.65","3.6","6.5"
"Argentina","Liga Profesional","2023","3/31/2023","23:00","","Estudiantes L.P.","Newells Old Boys","3","0","1","2.47","2.96","3.44"
"Argentina","Liga Profesional","2023","3/31/2023","23:00","","Rosario Central","Gimnasia L.P.","3","1","1","2.27","3.15","3.63"
"Argentina","Liga Profesional","2023","4/1/2023","1:30","","River Plate","Union de Santa Fe","1","0","1","1.4","4.73","9.71"
"Argentina","Liga Profesional","2023","4/1/2023","19:30","","Barracas Central","Boca Juniors","0","3","-1","4.34","3.34","1.98"
"Argentina","Liga Profesional","2023","4/1/2023","23:00","","San Lorenzo","Independiente","0","0","0","2.31","2.82","4.05"
"Argentina","Liga Profesional","2023","4/1/2023","23:30","","Racing Club","Huracan","2","1","1","2.22","3.16","3.73"
"Argentina","Liga Profesional","2023","4/2/2023","1:30","","Tigre","Lanus","2","1","1","2.3","3.27","3.43"
"Argentina","Liga Profesional","2023","4/2/2023","20:30","","Instituto","Talleres Cordoba","0","3","-1","3.08","3.06","2.62"
"Argentina","Liga Profesional","2023","4/2/2023","23:00","","Colon Santa Fe","Atl. Tucuman","0","0","0","2.51","3.09","3.21"
"Argentina","Liga Profesional","2023","4/3/2023","1:30","","Banfield","Platense","0","2","-1","1.96","3.31","4.49"
"Argentina","Liga Profesional","2023","4/4/2023","0:00","","Belgrano","Sarmiento Junin","0","0","0","2.13","3.07","4.19"
"Argentina","Liga Profesional","2023","4/4/2023","1:30","","Central Cordoba","Arsenal Sarandi","1","0","1","2.01","3.28","4.3"
"Argentina","Liga Profesional","2023","4/7/2023","23:00","","Lanus","Arsenal Sarandi","3","0","1","1.55","3.83","7.51"
"Argentina","Liga Profesional","2023","4/7/2023","23:00","","Platense","Instituto","1","0","1","2.78","2.88","3.07"
"Argentina","Liga Profesional","2023","4/8/2023","1:30","","Talleres Cordoba","Barracas Central","3","0","1","1.35","5.1","9.81"
"Argentina","Liga Profesional","2023","4/8/2023","1:30","","Velez Sarsfield","Banfield","3","3","0","2.14","2.99","4.28"
"Argentina","Liga Profesional","2023","4/8/2023","19:30","","Sarmiento Junin","Argentinos Jrs","2","0","1","3.83","3.08","2.23"
"Argentina","Liga Profesional","2023","4/8/2023","22:00","","Gimnasia L.P.","Racing Club","3","1","1","3.76","3.28","2.16"
"Argentina","Liga Profesional","2023","4/8/2023","22:00","","Union de Santa Fe","Belgrano","0","3","-1","2.36","3","3.62"
"Argentina","Liga Profesional","2023","4/9/2023","0:30","","Atl. Tucuman","San Lorenzo","1","3","-1","2.54","2.83","3.49"
"Argentina","Liga Profesional","2023","4/9/2023","0:30","","Defensa y Justicia","Central Cordoba","1","2","-1","2.02","3.33","4.19"
"Argentina","Liga Profesional","2023","4/9/2023","18:00","","Godoy Cruz","Tigre","1","1","0","2.47","3.28","3.08"
"Argentina","Liga Profesional","2023","4/9/2023","18:00","","Independiente","Estudiantes L.P.","1","2","-1","3.7","3.02","2.31"
"Argentina","Liga Profesional","2023","4/9/2023","20:30","","Newells Old Boys","Rosario Central","0","0","0","2.1","3.07","4.32"
"Argentina","Liga Profesional","2023","4/9/2023","23:00","","Huracan","River Plate","0","3","-1","4.48","3.35","1.95"
"Argentina","Liga Profesional","2023","4/10/2023","1:30","","Boca Juniors","Colon Santa Fe","1","2","-1","1.74","3.63","5.42"
"Argentina","Liga Profesional","2023","4/11/2023","18:00","","Barracas Central","Platense","1","0","1","3.71","3.07","2.28"
"Argentina","Liga Profesional","2023","4/11/2023","23:00","","Argentinos Jrs","Union de Santa Fe","5","1","1","1.4","4.64","9.03"
"Argentina","Liga Profesional","2023","4/12/2023","1:30","","Banfield","Defensa y Justicia","0","3","-1","2.25","3.27","3.52"
"Argentina","Liga Profesional","2023","4/12/2023","1:30","","Central Cordoba","Lanus","1","1","0","2.83","2.97","2.92"
"Argentina","Liga Profesional","2023","4/12/2023","1:30","","Instituto","Velez Sarsfield","1","0","1","3","2.86","2.86"
"Argentina","Liga Profesional","2023","4/12/2023","21:30","","San Lorenzo","Boca Juniors","1","0","1","2.79","2.82","3.13"
"Argentina","Liga Profesional","2023","4/12/2023","23:00","","Belgrano","Huracan","2","0","1","2.53","2.85","3.5"
"Argentina","Liga Profesional","2023","4/12/2023","23:30","","Racing Club","Newells Old Boys","0","1","-1","1.76","3.62","5.24"
"Argentina","Liga Profesional","2023","4/13/2023","1:30","","Estudiantes L.P.","Atl. Tucuman","0","0","0","1.92","3.3","4.76"
"Argentina","Liga Profesional","2023","4/13/2023","1:30","","Rosario Central","Independiente","1","0","1","2.07","3.1","4.39"
"Argentina","Liga Profesional","2023","4/13/2023","18:00","","Arsenal Sarandi","Godoy Cruz","2","3","-1","2.86","2.89","2.97"
"Argentina","Liga Profesional","2023","4/13/2023","20:30","","Colon Santa Fe","Talleres Cordoba","2","2","0","3.06","3.3","2.48"
"Argentina","Liga Profesional","2023","4/13/2023","23:30","","River Plate","Gimnasia L.P.","3","0","1","1.16","7.91","18.1"
"Argentina","Liga Profesional","2023","4/14/2023","1:30","","Tigre","Sarmiento Junin","1","0","1","1.87","3.33","4.98"
"Argentina","Liga Profesional","2023","4/15/2023","20:30","","Defensa y Justicia","Instituto","1","0","1","2.24","3.18","3.67"
"Argentina","Liga Profesional","2023","4/15/2023","23:00","","Boca Juniors","Estudiantes L.P.","0","1","-1","2.53","3.05","3.24"
"Argentina","Liga Profesional","2023","4/16/2023","1:30","","Gimnasia L.P.","Belgrano","0","2","-1","2.84","3.09","2.8"
"Argentina","Liga Profesional","2023","4/16/2023","1:30","","Huracan","Argentinos Jrs","0","0","0","3.26","2.94","2.6"
"Argentina","Liga Profesional","2023","4/16/2023","18:00","","Union de Santa Fe","Tigre","0","0","0","2.42","3.25","3.2"
"Argentina","Liga Profesional","2023","4/16/2023","18:00","","Velez Sarsfield","Barracas Central","0","0","0","1.56","3.8","7.46"
"Argentina","Liga Profesional","2023","4/16/2023","20:30","","Independiente","Racing Club","1","1","0","3.35","3.12","2.41"
"Argentina","Liga Profesional","2023","4/16/2023","23:00","","Newells Old Boys","River Plate","0","1","-1","4.5","3.28","1.97"
"Argentina","Liga Profesional","2023","4/17/2023","1:30","","Talleres Cordoba","San Lorenzo","0","0","0","2.21","2.98","4.08"
"Argentina","Liga Profesional","2023","4/17/2023","20:30","","Platense","Colon Santa Fe","0","0","0","2.53","3.1","3.17"
"Argentina","Liga Profesional","2023","4/17/2023","23:00","","Banfield","Central Cordoba","1","0","1","2.24","3.02","3.9"
